,Unnamed: 0,month,fir_overall_count,fir_caw_count,fir_bywomen_count,arrest_count,dir_count,ncr_count,ps_code,urban,dist_urban,treatment,implement_quality,training_score,comm_outreach_strength,regular_whd,women_whd,urban_encoded,treatment_encoded,year_YYYY,month_MM
158,158,2019-03-01,57,16,9,26,0,76,1007.0,Rural,1.0,Control,0.0,1.1666666,0.0,0.0,0.0,0.0,0.0,2019,2
159,159,2018-06-01,59,11,5,14,0,94,1007.0,Rural,1.0,Control,0.0,1.1666666,0.0,0.0,0.0,0.0,0.0,2018,5
160,160,2019-01-01,55,11,8,10,0,32,1007.0,Rural,1.0,Control,0.0,1.1666666,0.0,0.0,0.0,0.0,0.0,2019,0
161,161,2020-02-01,53,6,6,8,0,1,1007.0,Rural,1.0,Control,0.0,1.1666666,0.0,0.0,0.0,0.0,0.0,2020,1
162,162,2020-01-01,34,2,2,2,0,2,1007.0,Rural,1.0,Control,0.0,1.1666666,0.0,0.0,0.0,0.0,0.0,2020,0
163,163,2020-05-01,63,4,4,10,0,0,1007.0,Rural,1.0,Control,0.0,1.1666666,0.0,0.0,0.0,0.0,0.0,2020,4
164,164,2019-09-01,34,6,5,5,0,23,1007.0,Rural,1.0,Control,0.0,1.1666666,0.0,0.0,0.0,0.0,0.0,2019,8
165,165,2019-07-01,41,5,4,5,0,40,1007.0,Rural,1.0,Control,0.0,1.1666666,0.0,0.0,0.0,0.0,0.0,2019,6
166,166,2018-10-01,50,7,7,9,0,95,1007.0,Rural,1.0,Control,0.0,1.1666666,0.0,0.0,0.0,0.0,0.0,2018,9
167,167,2018-07-01,50,6,5,6,0,78,1007.0,Rural,1.0,Control,0.0,1.1666666,0.0,0.0,0.0,0.0,0.0,2018,6
168,168,2018-05-01,76,16,9,16,0,111,1007.0,Rural,1.0,Control,0.0,1.1666666,0.0,0.0,0.0,0.0,0.0,2018,4
169,169,2020-03-01,38,4,2,9,0,0,1007.0,Rural,1.0,Control,0.0,1.1666666,0.0,0.0,0.0,0.0,0.0,2020,2
170,170,2019-10-01,68,5,5,7,0,1,1007.0,Rural,1.0,Control,0.0,1.1666666,0.0,0.0,0.0,0.0,0.0,2019,9
171,171,2019-06-01,53,8,5,11,0,57,1007.0,Rural,1.0,Control,0.0,1.1666666,0.0,0.0,0.0,0.0,0.0,2019,5
172,172,2018-08-01,44,6,6,9,0,64,1007.0,Rural,1.0,Control,0.0,1.1666666,0.0,0.0,0.0,0.0,0.0,2018,7
173,173,2019-08-01,27,1,1,1,0,51,1007.0,Rural,1.0,Control,0.0,1.1666666,0.0,0.0,0.0,0.0,0.0,2019,7
174,174,2020-04-01,45,5,3,12,0,0,1007.0,Rural,1.0,Control,0.0,1.1666666,0.0,0.0,0.0,0.0,0.0,2020,3
